left_x,left_y,right_x,right_y,rel_x,rel_y,dist,angle,left_velocity,right_velocity,rel_velocity,target
-409.927005198603,116.012713042345,-390.011621930219,-91.4862719573719,-19.9153832683838,207.498984999717,208.452515616002,-5.48235394540138,0,0,0,5
-407.784065997626,117.204846904952,-388.516630917421,-91.3346133222665,-19.2674350802052,208.539460227219,209.427649861306,-5.27870118587135,0.00698586992686262,0.00487359265838101,0.00211227726848162,5
-407.49410166042,117.289143291373,-388.412322763731,-90.3471980599342,-19.081778896689,207.636341351307,208.511305534301,-5.25073316079447,0.000945268602219148,0.000340039135806618,0.00060522946641253,5
-407.557749276472,117.029507909915,-389.009103521527,-90.406214829133,-18.5486457549447,207.435722739048,208.263370105292,-5.10972800950764,-0.000207487905717592,-0.0019454741165382,0.00173798621082061,5
-407.733458097706,116.608671556078,-390.192247982613,-90.4445009451395,-17.5412101150934,207.053172501217,207.794875526613,-4.84244285573212,-0.000572801584658117,-0.00385698917919105,0.00328418759453293,5
-407.767351946696,116.368985651684,-390.479613364223,-89.4399105635934,-17.287738582473,205.808896215278,206.533696201484,-4.80151565641945,-0.000110492178339146,-0.000936796142651889,0.000826303964312743,5
-407.185346407631,117.087635000324,-390.488045477106,-89.0282943567357,-16.6973009305256,206.11592935706,206.791141476343,-4.63137579223839,0.00189730767478924,-2.74882478138081e-05,0.00192479592260304,5
-406.930611921764,118.142000006229,-390.512802771265,-88.4907992396463,-16.417809150499,206.632799245875,207.284003679706,-4.54283721072529,0.000830421125967809,-8.07074865487545e-05,0.000911128612516563,5
-407.406961135314,118.167938731272,-391.631397871984,-88.3480380245207,-15.7755632633301,206.515976755793,207.117640609569,-4.36828771234634,-0.00155287356921133,-0.00364656163407958,0.00209368806486825,5
-407.339509700475,118.863168669396,-392.478784496611,-87.2798095494136,-14.8607252038644,206.14297821881,206.677934532222,-4.12328593687423,0.000219888156393456,-0.00276243615997415,0.00298232431636761,5
-406.479688078258,119.673841297629,-391.703008483783,-86.6724935148188,-14.7766795944749,206.346334812448,206.874745076263,-4.09601934808576,0.00280297360297119,0.00252898930381277,0.000273984299158419,5
-409.172658396069,121.229008854629,-395.490285257003,-85.2339928666635,-13.6823731390667,206.463001721293,206.915872794919,-3.79146682224405,-0.0087789426543481,-0.0123463245726602,0.00356738191831209,5
-415.917927014762,123.514167737728,-403.847056602206,-84.6542518801135,-12.0708704125566,208.168419617841,208.51809714916,-3.31864140582405,-0.0219892235722096,-0.0272426383350041,0.00525341476279457,5
-411.237655152843,122.016509865766,-403.455858650249,-82.1393667547158,-7.78179650259494,204.155876620482,204.304131909967,-2.18288280476474,0.0152574419446026,0.00127528490158818,0.0139821570430144,5
-420.1113437342,127.969236365431,-362.21291371768,-72.5711320543177,-57.8984300165205,200.540368419748,208.731089117808,-16.1040685409802,-0.0289277615401236,0.134449847465724,-0.163377609005848,4
-426.492788761642,132.088303233736,-311.2822877795,-61.2994183644105,-115.210500982142,193.387721598146,225.105020826898,-30.7843202563325,-0.0208031776574925,0.166031181815892,-0.186834359473385,4
-438.343302899766,131.255609664013,-288.731833756858,-63.9750291268276,-149.611469142908,195.23063879084,245.964619451211,-37.464097894841,-0.0386320574553108,0.0735133029075441,-0.112145360362855,4
-453.206453668086,129.721207894489,-290.632251212325,-65.8085883607927,-162.574202455761,195.529796255282,254.287775026167,-39.7419944031483,-0.0484530956004213,-0.00619526169691661,-0.0422578339035047,1
-458.611839324701,121.483928607631,-286.681688579748,-67.0967961468364,-171.930150744953,188.580724754468,255.191431055399,-42.3556133771933,-0.0176212750620397,0.0128786279501192,-0.0304999030121589,1
-456.626897548967,112.949912417359,-273.431671945877,-65.1504620844436,-183.19522560309,178.100374501803,255.499968848235,-45.807909418328,0.00647080656854645,0.0431943625329116,-0.0367235559643652,1
-459.501694766964,110.147272819363,-280.301692242648,-66.6403971422003,-179.200002524315,176.787669961564,251.727076722297,-45.3882560260438,-0.00937168885700429,-0.0223959075303066,0.0130242186733023,1
-461.632243768469,108.805094401438,-293.42589193087,-69.9292898924348,-168.206351837599,178.734384293872,245.437073253867,-43.2618738244451,-0.00694547852339402,-0.0427842058581438,0.0358387273347497,1
-462.589194748935,110.349974171522,-311.954901134534,-74.2060062302324,-150.634293614401,184.555980401754,238.225943832241,-39.2212678523258,-0.00311961024039839,-0.0604036027300376,0.0572839924896393,1
-475.64274274913,113.580730906715,-328.406562352871,-78.5231741584113,-147.236180396259,192.103905065126,242.03802006906,-37.4680111941586,-0.0425538850434229,-0.0536315567421183,0.0110776716986954,1
-449.324541537799,108.554028650411,-346.632170196973,-82.3826953880743,-102.692371340826,190.936724038485,216.800728131044,-28.2729002970675,0.0857959620541432,-0.0594145301363909,0.145210492190534,2
-366.396708331531,93.9519469518908,-364.741163525264,-87.0544548488936,-1.65554480626753,181.006401800784,181.013972724408,-0.524031660306863,0.270340407152669,-0.0590343729025002,0.329374780055169,2
-307.862415252793,90.4728585998372,-393.882001177876,-90.0773282508995,86.019585925083,180.550186850737,199.994347756527,25.474546618637,0.190818739758219,-0.0949976095020123,0.285816349260232,2
-280.935500961256,90.182315431616,-425.897740132942,-87.4348097696719,144.962239171685,177.617125201288,229.263808636337,39.2196082302373,0.0877803349188302,-0.104369637668911,0.192149972587741,2
-283.220210441001,93.2388483128111,-457.11249701576,-84.2838373397117,173.892286574758,177.522685652523,248.501169517333,44.4081096078752,-0.00744803363478201,-0.101758477927225,0.0943104442924434,3
