round,left_x,left_y,right_x,right_y,rel_x,rel_y,dist,angle,left_velocity,right_velocity,rel_velocity,target
1,-408.286741977446,97.6781924510235,-404.906195106471,-107.731422437964,-3.38054687097514,205.409614888987,205.437430829897,-0.942865229950093,0,0,0,5
2,-408.614593715041,97.8669099653264,-405.026629081777,-109.308677044041,-3.58796463326411,207.175587009367,207.20665371287,-0.992176175305209,-0.00107862141461033,-0.000396223810690923,-0.000682397603919411,5
3,-409.067091151779,96.4297963634837,-404.962893260003,-110.814225277807,-4.10419789177536,207.24402164129,207.284656804093,-1.13451998062272,-0.00148870165795797,0.000209688753663592,-0.00169839041162157,5
4,-412.697119582271,96.7617151507542,-407.764495666197,-112.616408606904,-4.93262391607425,209.378123757659,209.436218183424,-1.34955008751752,-0.0119426739339543,-0.00921717960903497,-0.00272549432491931,5
5,-419.030425774556,95.3419210589594,-415.854176816026,-115.383143704522,-3.17624895852998,210.725064763482,210.749001129353,-0.863551187317133,-0.0208363687025137,-0.0266147844437002,0.00577841574118653,5
6,-424.039323712277,92.1352860413525,-425.513144666809,-117.348257137163,1.47382095453241,209.483543178515,209.488727646217,0.403097665531758,-0.016479109181669,-0.0317776859848972,0.0152985768032282,5
7,-398.322538779559,83.2923183515,-438.177062457609,-121.539132626974,39.8545236780493,204.831450978474,208.672725499887,11.0105986179031,0.0846073751106637,-0.0416638722803029,0.126271247390967,5
8,-337.248409065552,72.3063219422051,-453.539742597885,-125.335761775985,116.291333532332,197.64208371819,229.316522542961,30.4722822469633,0.200931874485459,-0.0505427114911172,0.251474585976576,4
9,-305.691708599979,69.641688475284,-467.884658190725,-125.674496657472,162.192949590746,195.316185132756,253.87982407383,39.7066553116117,0.103820504799914,-0.0471942996634152,0.15101480446333,4
10,-300.05967793814,69.5641535055955,-484.481352755907,-122.564939237418,184.421674817767,192.129092743013,266.31737160922,43.8274068184413,0.0185291953130088,-0.054602578290688,0.0731317736036968,4
11,-317.930527092811,77.6436465031489,-502.781057179661,-120.052487215547,184.85053008685,197.696133718696,270.653800565797,43.0767772874789,-0.0587945049091905,-0.0602054246145286,0.00141091970533809,1
12,-317.291719182638,76.7211698600093,-497.431897269446,-108.796730152466,180.140178086808,185.517900012476,258.587267641285,44.1574135070855,0.00210165697699156,0.0175985598602066,-0.0154969028832151,1
13,-330.955545013874,79.9540921835485,-494.02574629906,-108.779832796749,163.070201285187,188.733924980298,249.424106665053,40.8277264665731,-0.0449535367883161,0.0112061244665285,-0.0561596612548445,1
14,-345.653408070645,82.6878094542521,-489.173602182953,-107.851124594976,143.520194112307,190.538934049228,238.543772726622,36.9882620257731,-0.0483554851908177,0.0159633942732941,-0.0643188794641119,1
15,-362.824431497641,84.201701246754,-475.253508112825,-105.041481473903,112.429076615184,189.243182720657,220.121056409392,30.7144801088388,-0.0564921013230361,0.0457966508507331,-0.102288752173769,1
16,-383.056155062156,87.7912006481567,-413.227311213803,-99.7274914338035,30.1711561516462,187.51869208196,189.930404473997,9.14036978694138,-0.0665617039313674,0.204064144155398,-0.270625848086766,2
17,-417.225311393265,88.3455718591782,-342.546761141815,-89.6815323705678,-74.67855025145,178.027104229746,193.055783928084,-22.7570037742842,-0.112415398522195,0.232536680950372,-0.344952079472567,2
18,-449.960804693681,84.1787330091485,-294.161963786657,-83.7504534737382,-155.798840907025,167.929186482887,229.070928973487,-42.8540857191456,-0.107698694387621,0.159184389113633,-0.266883083501254,2
19,-474.664909937865,77.5719904855852,-283.033711668506,-84.3769630453535,-191.631198269359,161.948953530939,250.898345351094,-49.7985984437876,-0.0812756923012114,0.0366115828144819,-0.117887275115693,2
20,-491.916113237439,73.90775075566,-310.588958523562,-87.282723999909,-181.327154713877,161.190474755569,242.614727888799,-48.3645576130778,-0.0567558904620467,-0.0906558542614164,0.0338999637993696,3
