round,left_x,left_y,right_x,right_y,rel_x,rel_y,dist,angle,left_velocity,right_velocity,rel_velocity,target
1,-409.927005198603,116.012713042345,-390.011621930219,-91.4862719573719,-19.9153832683838,207.498984999717,208.452515616002,-5.48235394540138,0,0,0,5
2,-407.784065997626,117.204846904952,-388.516630917421,-91.3346133222665,-19.2674350802052,208.539460227219,209.427649861306,-5.27870118587135,0.00698586992686262,0.00487359265838101,0.00211227726848162,5
3,-407.49410166042,117.289143291373,-388.412322763731,-90.3471980599342,-19.081778896689,207.636341351307,208.511305534301,-5.25073316079447,0.000945268602219148,0.000340039135806618,0.00060522946641253,5
4,-407.557749276472,117.029507909915,-389.009103521527,-90.406214829133,-18.5486457549447,207.435722739048,208.263370105292,-5.10972800950764,-0.000207487905717592,-0.0019454741165382,0.00173798621082061,5
5,-407.733458097706,116.608671556078,-390.192247982613,-90.4445009451395,-17.5412101150934,207.053172501217,207.794875526613,-4.84244285573212,-0.000572801584658117,-0.00385698917919105,0.00328418759453293,5
6,-407.767351946696,116.368985651684,-390.479613364223,-89.4399105635934,-17.287738582473,205.808896215278,206.533696201484,-4.80151565641945,-0.000110492178339146,-0.000936796142651889,0.000826303964312743,5
7,-407.185346407631,117.087635000324,-390.488045477106,-89.0282943567357,-16.6973009305256,206.11592935706,206.791141476343,-4.63137579223839,0.00189730767478924,-2.74882478138081e-05,0.00192479592260304,5
8,-406.930611921764,118.142000006229,-390.512802771265,-88.4907992396463,-16.417809150499,206.632799245875,207.284003679706,-4.54283721072529,0.000830421125967809,-8.07074865487545e-05,0.000911128612516563,5
9,-407.406961135314,118.167938731272,-391.631397871984,-88.3480380245207,-15.7755632633301,206.515976755793,207.117640609569,-4.36828771234634,-0.00155287356921133,-0.00364656163407958,0.00209368806486825,5
10,-407.339509700475,118.863168669396,-392.478784496611,-87.2798095494136,-14.8607252038644,206.14297821881,206.677934532222,-4.12328593687423,0.000219888156393456,-0.00276243615997415,0.00298232431636761,5
11,-406.479688078258,119.673841297629,-391.703008483783,-86.6724935148188,-14.7766795944749,206.346334812448,206.874745076263,-4.09601934808576,0.00280297360297119,0.00252898930381277,0.000273984299158419,5
12,-409.172658396069,121.229008854629,-395.490285257003,-85.2339928666635,-13.6823731390667,206.463001721293,206.915872794919,-3.79146682224405,-0.0087789426543481,-0.0123463245726602,0.00356738191831209,5
