round,left_x,left_y,right_x,right_y,rel_x,rel_y,dist,angle,left_velocity,right_velocity,rel_velocity,target
1,-375.993394958454,83.6876264637685,-378.756778342611,-115.013358315295,2.76338338415678,198.700984779064,198.720199375649,0.796775108200128,0,0,0,5
2,-374.810009496766,81.9432098566087,-379.980060013282,-118.117361837731,5.17005051651637,200.06057169434,200.127363868636,1.48033246268917,0.0036485601998676,-0.00377156637573551,0.00742012657560312,5
3,-378.802130403419,79.7705945305719,-383.291590959127,-121.897114243594,4.48946055570883,201.667708774166,201.717674035527,1.27528925646694,-0.0123083254988535,-0.01020996150519,-0.00209836399366348,5
4,-386.353919482977,76.8634632391809,-390.975727137326,-124.567723845554,4.62180765434886,201.431187084735,201.48420344126,1.31441223008478,-0.0232833324098468,-0.0236913789612865,0.00040804655143979,5
5,-358.682661609272,73.0916356346548,-395.567438667197,-126.995276295448,36.8847770579255,200.086911930103,203.458249044706,10.4448593037135,0.0853147629633934,-0.014156956021125,0.0994717189845184,4
6,-304.012918451093,57.0521463649363,-403.813364479488,-130.009973599623,99.800446028395,187.062119964559,212.019729631706,28.0805897939851,0.168555264097397,-0.0254234631941992,0.193978727291597,4
7,-279.239339824581,62.0888941903496,-414.795836800951,-130.51962666645,135.55649697637,192.6085208568,235.528355361194,35.1376084179046,0.0763807701811885,-0.0338606588516521,0.110241429032841,4
8,-272.293047644384,62.4062899244281,-427.940812362874,-131.374183828111,155.64776471849,193.780473752539,248.54999229455,38.7720214881342,0.0214164919257668,-0.0405279904275951,0.0619444823533619,4
9,-289.519004592068,66.7397569315882,-443.824579628873,-128.635939260142,154.305575036805,195.37569619173,248.961589707815,38.3012909208093,-0.053110286511617,-0.0489721083677982,-0.00413817814381879,1
10,-290.445687708633,65.9693420404223,-456.251058186363,-121.066731856062,165.80537047773,187.036073896484,249.947822190689,41.5566265790328,-0.00285710721185029,-0.0383127531621683,0.035455645950318,1
11,-308.026471001423,69.9205770696606,-468.456331595113,-115.901899713725,160.429860593689,185.822476783386,245.494873771373,40.8056891424483,-0.0542042709507784,-0.0376307435145685,-0.0165735274362099,1
12,-323.04092037632,72.9124578956547,-477.261970681332,-116.529985965674,154.221050305011,189.442443861329,244.279700125356,39.1482998674984,-0.0462918670084178,-0.0271491456879468,-0.019142721320471,1
13,-335.084703728421,75.6766875785336,-468.16676946389,-114.51571893425,133.08206573547,190.192406512784,232.129247867527,34.9813802195831,-0.0371328447212836,0.0280419104730236,-0.0651747551943073,1
14,-360.541627246831,85.9277207661657,-406.959032550069,-102.589883450885,46.4174053032377,188.517604217051,194.148043036291,13.8323968718318,-0.078487628053015,0.188712908902148,-0.267200536955163,2
15,-390.147141167162,93.854836766837,-335.524795691397,-87.9612581737307,-54.6223454757657,181.816094940568,189.843864806613,-16.7216525772605,-0.091278373178786,0.220242788126366,-0.311521161305152,2
16,-423.351636130569,90.9678834385782,-285.014183077646,-82.4451312563822,-138.337453052924,173.41301469496,221.831748365207,-38.5805537310828,-0.102374587741967,0.155732022083929,-0.258106609825896,2
17,-449.892596295548,85.7250924693535,-275.395250251655,-85.0624400535799,-174.497346043893,170.787532522933,244.167370960237,-45.6155742467991,-0.0818298805074461,0.0296566559335924,-0.111486536441038,2
18,-476.596663245564,79.7311511779548,-293.537415597194,-85.6832916174033,-183.05924764837,165.414442795358,246.723784898996,-47.8986698459913,-0.0823327639241179,-0.0559350985474401,-0.0263976653766777,3
19,-493.23754122342,76.1652839034547,-298.95766651301,-90.1185751541387,-194.27987471041,166.283859057593,255.724444472127,-49.4398299467853,-0.0513063976586569,-0.0167114709492272,-0.0345949267094298,3
20,-494.212557565336,71.7711288477531,-325.81549518146,-96.6532346010732,-168.397062383876,168.424363448826,238.1687150376,-44.9953558898738,-0.00300612601261891,-0.0828068350567329,0.079800709044114,3
21,-422.949196934795,76.9189408678607,-355.498649768804,-107.059109008772,-67.4505471659909,183.978049876632,195.952798268869,-20.1340877154601,0.219715950316333,-0.0915177513499089,0.311233701666242,4
22,-348.602775331959,76.0871010478762,-394.022485982698,-113.657772738043,45.4197106507397,189.744873785919,195.105272208701,13.4617351239405,0.22922150359669,-0.118774938603429,0.347996442200119,4
23,-282.822815203448,72.2079261277819,-433.2416807433,-114.98202209973,150.418865539852,187.189948227512,240.137277047348,38.7840612060749,0.202809779436814,-0.120918836429023,0.323728615865838,4
24,-257.100367261336,61.2502792102054,-465.233224760287,-115.120064929414,208.132857498951,176.370344139619,272.81089542503,49.7222892768027,0.0793062808722129,-0.0986348725850945,0.177941153457307,4
